Te agradezco infinitamente,Te registraste en Traidores y dejaste tu nombre grabado en el pueblo.,False,,Revealed,5,1
Ser primero no es lo importante: es lo único,Eliminaste a 25 jugadores como Asesino. No era una carrera pero llegaste primero.,True,25,Revealed,10,2
Y me gusta el rol... el maldito rol,Ganaste 5 partidas como Bufón. Te votaron y encima te salió bien.,True,5,Revealed,10,3
Hoy dormís afuera,Expulsaste mediante votación a todos los Asesinos de una partida.,False,,Revealed,15,4
Lo que no te mata... te infecta,Ganaste 10 partidas como Desertor después de cambiar de bando.,True,10,Revealed,15,5
Ya nadie va a escuchar tu voto,Silenciaste tres veces al mismo jugador en una partida como Mercenario.,False,,Revealed,25,6
Sobreviviendo dije... sobreviviendo,Ganaste como Aldeano sin morir en una partida de más de 12 jugadores.,False,,Revealed,25,7
El alcalde que fue prometido,Ganaste 15 partidas como Alcalde después de decidir una expulsión con tu poder.,True,15,Revealed,30,8
Quién te ha visto y quién te ve,Alcanzaste 50 victorias. El pueblo ya no sabe si confiarte el mate.,True,50,Revealed,50,9
Traidores Supremo,Desbloqueaste los otros nueve logros. El pueblo te saluda con respeto y miedo.,False,,Hidden,100,10
